Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
TrackMate,fiji.plugin.trackmate.action,AbstractTMAction,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: CaptureOverlayAction; ComputeDistanceToRoiAction; CTCExporterAction; ExportAllSpotsStatsAction; ExportStatsTablesAction; ExportTracksToXML; ExtractTrackStackAction; IcyTrackExporter; IJRoiExporter.IJRoiExporterAction; ISBIChallengeExporter; LabelImgExporter; MergeFileAction; MotilityLabExporter; PlotNSpotsVsTimeAction; RecomputeFeatureAction; ResetSpotTimeFeatureAction; TrackBranchAnalysis; TrimNotVisibleAction; AutoNamingAction; CloseGapsAction; SpotGaussianFittingAction
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NAME; KEY; INFO_TEXT; firstFrame; lastFrame; hideImage; whiteBackground
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTMAction
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction.Factory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: INFO_TEXT; NAME; KEY; FEATURE; NAME; FEATURES; FEATURE_SHORT_NAMES; FEATURE_NAMES; FEATURE_DIMENSIONS; IS_INT; INFO_TEXT
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTMAction
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction.Factory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
