Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,execute,Complex Method,Cyclomatic complexity of the method is 8,76
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,execute,Long Statement,The length of the statement "final int userInput=JOptionPane.showConfirmDialog(gui`panel`"Capture TrackMate overlay"`JOptionPane.OK_CANCEL_OPTION`JOptionPane.QUESTION_MESSAGE`TRACKMATE_ICON);" is 162.,76
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,execute,Long Statement,The length of the statement "final ImagePlus imp2=ViewUtils.makeEmptyImagePlus(imp.getWidth()`imp.getHeight()`imp.getNSlices()`imp.getNFrames()`TMUtils.getSpatialCalibration(imp));" is 151.,76
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,execute,Long Statement,The length of the statement "final HyperStackDisplayer displayer=new HyperStackDisplayer(trackmate.getModel()`new SelectionModel(trackmate.getModel())`imp2`displaySettings);" is 144.,76
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 2,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 2,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 3,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 5,51
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,Magic Number,The method contains a magic number: 3,51
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction,computeDistance,Long Statement,The length of the statement "fm.declareSpotFeatures(DistanceToRoiFeature.FEATURES`DistanceToRoiFeature.FEATURE_NAMES`DistanceToRoiFeature.FEATURE_SHORT_NAMES`DistanceToRoiFeature.FEATURE_DIMENSIONS`DistanceToRoiFeature.IS_INT);" is 198.,127
TrackMate,fiji.plugin.trackmate.action,CTCExporter,getTrackTextFilePath,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@16f5afa,116
TrackMate,fiji.plugin.trackmate.action,CTCExporter,getTrackTifFilePath,Magic Number,The method contains a magic number: 999,130
TrackMate,fiji.plugin.trackmate.action,CTCExporter,getTrackTifFilePath,Magic Number,The method contains a magic number: 999,130
TrackMate,fiji.plugin.trackmate.action,CTCExporter,getTrackTifFilePath,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@ea9a785,130
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportOriginalImageData,Magic Number,The method contains a magic number: 999,234
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportSegmentationData,Long Parameter List,The method has 5 parameters. ,267
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportSegmentationData,Long Statement,The length of the statement "final double[] calibration=new double[]{imp.getCalibration().pixelWidth`imp.getCalibration().pixelHeight`imp.getCalibration().pixelDepth`imp.getCalibration().frameInterval};" is 173.,267
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportSegmentationData,Long Statement,The length of the statement "final Function<Long`String> tifNameGen=nFrames > 999 ? i -> String.format("man_seg%04d.tif"`i) : i -> String.format("man_seg%03d.tif"`i);" is 137.,267
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportSegmentationData,Magic Number,The method contains a magic number: 3,267
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportSegmentationData,Magic Number,The method contains a magic number: 4,267
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportSegmentationData,Magic Number,The method contains a magic number: 3,267
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportSegmentationData,Magic Number,The method contains a magic number: 999,267
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Complex Method,Cyclomatic complexity of the method is 10,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Long Parameter List,The method has 5 parameters. ,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Long Statement,The length of the statement "final double[] calibration=new double[]{imp.getCalibration().pixelWidth`imp.getCalibration().pixelHeight`imp.getCalibration().pixelDepth`imp.getCalibration().frameInterval};" is 173.,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Long Statement,The length of the statement "try (FileOutputStream fos=new FileOutputStream(path.toFile());BufferedWriter bw=new BufferedWriter(new OutputStreamWriter(fos))){" is 129.,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Long Statement,The length of the statement "final TrackBranchDecomposition decomposition=ConvexBranchesDecomposition.processTrack(trackID`trackModel`neighborIndex`forbidMiddleLinks`forbidGaps);" is 149.,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Long Statement,The length of the statement "final SimpleDirectedGraph<List<Spot>`DefaultEdge> branchGraph=ConvexBranchesDecomposition.buildBranchGraph(decomposition);" is 122.,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Magic Number,The method contains a magic number: 3,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Magic Number,The method contains a magic number: 4,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Magic Number,The method contains a magic number: 3,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,sanitizeAndCopy,Complex Method,Cyclomatic complexity of the method is 11,529
TrackMate,fiji.plugin.trackmate.action,CTCExporter,sanitizeAndCopy,Magic Number,The method contains a magic number: 1.2,529
TrackMate,fiji.plugin.trackmate.action,CTCExporter,createLabelImg,Long Statement,The length of the statement "final Img<UnsignedShortType> lblImg=Util.getArrayOrCellImgFactory(targetSize`new UnsignedShortType()).create(targetSize);" is 121.,633
TrackMate,fiji.plugin.trackmate.action,CTCExporterAction,execute,Long Statement,The length of the statement "final String[] valuesStr=Arrays.stream(ExportType.values()).map(ExportType::toString).collect(Collectors.toList()).toArray(new String[]{});" is 139.,55
TrackMate,fiji.plugin.trackmate.action,ExportAllSpotsStatsAction,execute,Long Statement,The length of the statement "createSpotsTable(trackmate.getModel()`selectionModel`displaySettings`TMUtils.getImagePathWithoutExtension(trackmate.getSettings())).render();" is 141.,52
TrackMate,fiji.plugin.trackmate.action,ExportStatsTablesAction,execute,Long Statement,The length of the statement "createTrackTables(trackmate.getModel()`selectionModel`displaySettings`TMUtils.getImagePathWithoutExtension(trackmate.getSettings())).render();" is 142.,58
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,execute,Magic Number,The method contains a magic number: 0.1,94
