Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
TrackMate,fiji.plugin.trackmate.action,AbstractTMAction,setLogger,3,1,1,31,0,,
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,execute,38,8,4,76,0,fiji.plugin.trackmate.action.CaptureOverlayPanel,fiji.plugin.trackmate.action.CaptureOverlayPanel; fiji.plugin.trackmate.visualization.ViewUtils; fiji.plugin.trackmate.action.CaptureOverlayAction; fiji.plugin.trackmate.util.TMUtils; fiji.plugin.trackmate.visualization.hyperstack.HyperStackDisplayer; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,capture,4,1,4,144,0,fiji.plugin.trackmate.action.CaptureOverlayAction,fiji.plugin.trackmate.action.CaptureOverlayAction; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,capture,29,2,4,164,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.action.CaptureOverlayAction
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,transferCalibration,11,1,2,219,0,,
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,CaptureOverlayPanel,99,1,4,51,0,,
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,focusGained,8,1,1,140,0,,
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,run,3,1,0,145,0,,
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,getFirstFrame,3,1,0,166,0,,
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,getLastFrame,3,1,0,171,0,,
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,isHideImage,3,1,0,176,0,,
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,isWhiteBackground,3,1,0,181,0,,
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction,execute,27,4,4,78,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.util.TMUtils; fiji.plugin.trackmate.action.ComputeDistanceToRoiAction; fiji.plugin.trackmate.TrackMate
