Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
TrackMate,fiji.plugin.trackmate,ModelTest,testTrackVisibility,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
TrackMate,fiji.plugin.trackmate,ModelTest,testTrackVisibility,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: fiji.plugin.trackmate.TrackModel.addEdge; fiji.plugin.trackmate.Model.setTrackVisibility; fiji.plugin.trackmate.TrackModel.nTracks; fiji.plugin.trackmate.Model.beginUpdate; fiji.plugin.trackmate.Model.addSpotTo; fiji.plugin.trackmate.TrackModel.trackIDs; fiji.plugin.trackmate.Model.endUpdate; fiji.plugin.trackmate.Model.getTrackModel; fiji.plugin.trackmate.Model.removeSpot
TrackMate,fiji.plugin.trackmate,ModelTest,testTrackNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
TrackMate,fiji.plugin.trackmate,ModelTest,testTrackNumber,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: fiji.plugin.trackmate.TrackModel.addEdge; fiji.plugin.trackmate.TrackModel.nTracks; fiji.plugin.trackmate.Model.beginUpdate; fiji.plugin.trackmate.Model.addSpotTo; fiji.plugin.trackmate.Model.endUpdate; fiji.plugin.trackmate.Model.getTrackModel; fiji.plugin.trackmate.Model.removeSpot
TrackMate,fiji.plugin.trackmate,ModelTest,testTrackModelChangeEvent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
TrackMate,fiji.plugin.trackmate,ModelTest,testTrackModelChangeEvent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: fiji.plugin.trackmate.Model.addEdge; fiji.plugin.trackmate.ModelChangeEvent.getEventID; fiji.plugin.trackmate.TrackModel.getEdgeTarget; fiji.plugin.trackmate.ModelChangeEvent.getEdges; fiji.plugin.trackmate.ModelChangeEvent.getSpots; fiji.plugin.trackmate.Model.beginUpdate; fiji.plugin.trackmate.Model.addSpotTo; fiji.plugin.trackmate.Model.endUpdate; fiji.plugin.trackmate.Model.removeSpot; fiji.plugin.trackmate.ModelChangeEvent.getSpotFlag; fiji.plugin.trackmate.TrackModel.addEdge; fiji.plugin.trackmate.ModelChangeEvent.getEdgeFlag; fiji.plugin.trackmate.Model.removeModelChangeListener; fiji.plugin.trackmate.Model.addModelChangeListener; fiji.plugin.trackmate.TrackModel.getEdgeSource; fiji.plugin.trackmate.Model.getTrackModel
TrackMate,fiji.plugin.trackmate,ModelTest,testRemovingWholeTracksAtOnce,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
TrackMate,fiji.plugin.trackmate,ModelTest,testRemovingWholeTracksAtOnce,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: fiji.plugin.trackmate.Model.addEdge; fiji.plugin.trackmate.ModelChangeEvent.getSpotFlag; fiji.plugin.trackmate.ModelChangeEvent.getEdgeFlag; fiji.plugin.trackmate.ModelChangeEvent.getEdges; fiji.plugin.trackmate.Model.addModelChangeListener; fiji.plugin.trackmate.Model.removeEdge; fiji.plugin.trackmate.ModelChangeEvent.getSpots; fiji.plugin.trackmate.Model.beginUpdate; fiji.plugin.trackmate.Model.addSpotTo; fiji.plugin.trackmate.Model.endUpdate; fiji.plugin.trackmate.Model.removeSpot
TrackMate,fiji.plugin.trackmate,SpotCollectionTest,testCrop,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
TrackMate,fiji.plugin.trackmate,SpotCollectionTest,testCrop,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: fiji.plugin.trackmate.SpotCollection.filter; fiji.plugin.trackmate.SpotCollection.crop; fiji.plugin.trackmate.SpotCollection.getNSpots
