Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: fiji.plugin.trackmate.visualization.hyperstack.HyperStackDisplayer; fiji.plugin.trackmate.action.CaptureOverlayPanel
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction.DistanceToRoiFeature,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TrackMate,fiji.plugin.trackmate.action,CTCExporter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: fiji.plugin.trackmate.io.TmXmlWriter
TrackMate,fiji.plugin.trackmate.action,CTCExporter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
TrackMate,fiji.plugin.trackmate.action,CTCExporter,Law of Demeter violation,The tool detected the smell in this method (exportSegmentationData) because the method voilates the law of Demeter. The long chain of method invocations is : fiji.plugin.trackmate.Model.getSpots; fiji.plugin.trackmate.SpotCollection.iterable
TrackMate,fiji.plugin.trackmate.action,CTCExporter,Law of Demeter violation,The tool detected the smell in this method (exportTrackingData) because the method voilates the law of Demeter. The long chain of method invocations is : fiji.plugin.trackmate.Model.getTrackModel; fiji.plugin.trackmate.TrackModel.getDirectedNeighborIndex
TrackMate,fiji.plugin.trackmate.action,CTCExporterAction.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TrackMate,fiji.plugin.trackmate.action,ExportAllSpotsStatsAction,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : fiji.plugin.trackmate.action.ExportAllSpotsStatsAction.createSpotsTable; fiji.plugin.trackmate.visualization.table.AllSpotsTableView.render
