Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
TrackMate,fiji.plugin.trackmate.action,AbstractTMAction,1,0,1,1,6,1,21,1,0.0,1,1,D:\Mency\ASDC\TrackMate\src\main\java\fiji\plugin\trackmate\action\AbstractTMAction.java,26
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction,7,3,4,3,128,12,0,2,0.5,1,8,D:\Mency\ASDC\TrackMate\src\main\java\fiji\plugin\trackmate\action\CaptureOverlayAction.java,49
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayAction.Factory,0,0,0,0,17,0,0,0,-1.0,0,0,D:\Mency\ASDC\TrackMate\src\main\java\fiji\plugin\trackmate\action\CaptureOverlayAction.java,244
TrackMate,fiji.plugin.trackmate.action,CaptureOverlayPanel,5,0,7,7,118,7,0,0,0.42857142857142855,1,0,D:\Mency\ASDC\TrackMate\src\main\java\fiji\plugin\trackmate\action\CaptureOverlayPanel.java,38
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction,11,2,5,5,135,16,0,2,0.6,0,10,D:\Mency\ASDC\TrackMate\src\main\java\fiji\plugin\trackmate\action\ComputeDistanceToRoiAction.java,56
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction.Factory,0,0,0,0,17,0,0,0,-1.0,0,0,D:\Mency\ASDC\TrackMate\src\main\java\fiji\plugin\trackmate\action\ComputeDistanceToRoiAction.java,198
TrackMate,fiji.plugin.trackmate.action,ComputeDistanceToRoiAction.DistanceToRoiFeature,8,2,0,0,43,0,0,2,-1.0,0,1,D:\Mency\ASDC\TrackMate\src\main\java\fiji\plugin\trackmate\action\ComputeDistanceToRoiAction.java,238
TrackMate,fiji.plugin.trackmate.action,CTCExporter,3,0,15,12,0,51,0,0,0.2,1,11,D:\Mency\ASDC\TrackMate\src\main\java\fiji\plugin\trackmate\action\CTCExporter.java,75
TrackMate,fiji.plugin.trackmate.action,CTCExporter.ExportType,2,0,0,0,0,0,0,0,-1.0,0,0,D:\Mency\ASDC\TrackMate\src\main\java\fiji\plugin\trackmate\action\CTCExporter.java,89
TrackMate,fiji.plugin.trackmate.action,CTCExporterAction,3,3,1,1,43,3,0,2,0.0,0,4,D:\Mency\ASDC\TrackMate\src\main\java\fiji\plugin\trackmate\action\CTCExporterAction.java,42
